review,rating,restaurant,type
The burger and curly fries were really good but when I got home I realized that y'all forgot the bacon and mayo.,3,Harlem Shake,Hamburger restaurant
Sent the completely wrong shakes. Werent even good. Worst chipotle mayo ive had too. Liked the burger but how badly the order was messed up aint worth it. Wasted my money,1,Harlem Shake,Hamburger restaurant
Love this place.  Great food but I really come for the music.  And the champagne is to die for!,5,Harlem Shake,Hamburger restaurant
"Shakeshack who?!?! Harlem shake was always better. I'm sad they closed their ""secret"" east harlem location but this location is just as friendly and welcoming. Can't wait to see you in Brooklyn",5,Harlem Shake,Hamburger restaurant
Loved it. The food was and they had a smooth R&B live band that was awesome.,5,Harlem Shake,Hamburger restaurant
The service was horrible,1,Harlem Shake,Hamburger restaurant
live band and great singer and food was good ; Snoop dog;  is chilli and cheese on a hot dog  and curly fries and Oreo shake  and tex message for food;  wail jamming to music. Good time!,5,Harlem Shake,Hamburger restaurant
Fantastic food!,5,Harlem Shake,Hamburger restaurant
Enjoyed the outdoor dining and art work displayed.,5,Harlem Shake,Hamburger restaurant
Too expensive for friggin burgers and fries. No A/C either but the staff was very nice.,3,Harlem Shake,Hamburger restaurant
"Love the burgers, the fries, the shakes. Great fast service. Good ambiance.",5,Harlem Shake,Hamburger restaurant
Amazing burgers and fries.  The cookies & cream milk shake was awesome.  A really great place to eat in Harlem!!,5,Harlem Shake,Hamburger restaurant
"Its really some mid far as there burgers go, but the set up is nice its not expensive.",3,Harlem Shake,Hamburger restaurant
Fried chicken sandwich was delicious - tender and cooked just right. I ordered it earlier in late morning for delivery at 12  and delivery was at 12. Thank you!!,5,Harlem Shake,Hamburger restaurant
"Food was pretty good, didn't like that they call your name or text you to pick up your own food with so many workers walking around. And don't get a table outside towards the sidewalk, unless you don't mind the occasional random homeless person interrupting your meal!",4,Harlem Shake,Hamburger restaurant
Great food and ambiance,5,Harlem Shake,Hamburger restaurant
"Has a very tasty cheeseburger and fresh, delicious fries.  The burger tasted like it was homemade!",5,Harlem Shake,Hamburger restaurant
Great food . Live entertainment on Sunday,5,Harlem Shake,Hamburger restaurant
I love their milk shakes ,5,Harlem Shake,Hamburger restaurant
Worst place ever. They got my order wrong. I called to tell them about it. The lady on the phone was rude and did not care about customer service. Nothing good will ever come to that place until they treat their customers better. Will never order there again.,1,Harlem Shake,Hamburger restaurant
Best Burger I have had in years and that red velvet shake is something special! 5 stars!,5,Harlem Shake,Hamburger restaurant
Why are the cooks not wearing masks????,1,Harlem Shake,Hamburger restaurant
The atmosphere and the burgers are the best. A must to experience.,5,Harlem Shake,Hamburger restaurant
That have vegan options *plural*,5,Harlem Shake,Hamburger restaurant
"Though a little pricey,  the burger and shake were very good. However, a little annoyance was that you had to specifically request lettuce, tomatoes, and onions the basics for a burger. Since I didn't know this, I had to receive it on the side.",4,Harlem Shake,Hamburger restaurant
I absolutely love the vibes here the music is on point love the playlist the food it's okay it's a little expensive but it's really good the staff is nice but it could get a little crowded and rowdy at some point,4,Harlem Shake,Hamburger restaurant
Had the Hot Mess which was EXCELLENT.,5,Harlem Shake,Hamburger restaurant
Good food had too many flies,3,Harlem Shake,Hamburger restaurant
I liked its milkshakes and the burgers. The staff was friendly and I got my food at a reasonable time.,5,Harlem Shake,Hamburger restaurant
"Great atmosphere, the food was fantastic (I recommend the hot mess burger), and it was really affordable. I'll definitely be back.",5,Harlem Shake,Hamburger restaurant
Sundays are the Best. Music with good food,5,Harlem Shake,Hamburger restaurant
I come here all the time so I would give it 5 stars but my experience just now was horrible. I'm still in here waiting for my order to be fixed. This new guy I think his name is Constantine I really can't read his name tag. However he kept ,1,Harlem Shake,Hamburger restaurant
"This is fine, but honestly not as good as you think it will be. Their regular fries aren't very good, so get the curly ones instead.",4,Harlem Shake,Hamburger restaurant
Nice spot loved it great food,5,Harlem Shake,Hamburger restaurant
Wow burger wow shake wow good. Wow wow wow ...,5,Harlem Shake,Hamburger restaurant
Love their frose,5,Harlem Shake,Hamburger restaurant
"The burger is very simple and is really good, highly recommended ",5,Harlem Shake,Hamburger restaurant
The drink I had was called their Signature Harlem Shake and it was DELICIOUS. The cheese burger and fries were very tasty and satisfying.,5,Harlem Shake,Hamburger restaurant
